order_id,customer_id,sector_id,planned_delivery_duration,product_id,weight,quantity,segment_id,driver_id,segment_type,segment_start_time,segment_end_time,delivery_duration,delivery_minutes
1312,149,1,175,30,818,1,0,4,STOP,2024-02-09 14:58:42,2024-02-09 15:01:56,194,4
1273,228,3,177,87,982,1,2,4,STOP,2024-02-24 09:26:31,2024-02-24 09:32:12,341,6
1273,228,3,177,95,1491,3,2,4,STOP,2024-02-24 09:26:31,2024-02-24 09:32:12,341,6
1273,228,3,177,56,318,1,2,4,STOP,2024-02-24 09:26:31,2024-02-24 09:32:12,341,6
1273,228,3,177,12,1447,2,2,4,STOP,2024-02-24 09:26:31,2024-02-24 09:32:12,341,6
1273,228,3,177,37,1218,3,2,4,STOP,2024-02-24 09:26:31,2024-02-24 09:32:12,341,6
1036,283,3,177,92,245,3,4,1,STOP,2024-02-24 20:26:23,2024-02-24 20:26:23,0,0
1036,283,3,177,80,414,3,4,1,STOP,2024-02-24 20:26:23,2024-02-24 20:26:23,0,0
2178,234,3,177,32,1754,3,7,2,STOP,2024-02-23 09:39:03,2024-02-23 09:40:47,104,2
2178,234,3,177,90,1654,1,7,2,STOP,2024-02-23 09:39:03,2024-02-23 09:40:47,104,2
331,272,3,178,71,1378,2,10,4,STOP,2024-02-26 07:03:21,2024-02-26 07:06:16,175,3
331,272,3,178,21,259,1,10,4,STOP,2024-02-26 07:03:21,2024-02-26 07:06:16,175,3
2221,284,1,176,67,628,3,12,1,STOP,2024-02-16 04:37:40,2024-02-16 04:40:06,146,3
2221,284,1,176,25,1963,3,12,1,STOP,2024-02-16 04:37:40,2024-02-16 04:40:06,146,3
2221,284,1,176,47,310,3,12,1,STOP,2024-02-16 04:37:40,2024-02-16 04:40:06,146,3
355,316,2,175,88,1223,2,15,4,STOP,2024-02-18 21:18:21,2024-02-18 21:22:54,273,5
355,316,2,175,99,1557,2,15,4,STOP,2024-02-18 21:18:21,2024-02-18 21:22:54,273,5
355,316,2,175,9,237,3,15,4,STOP,2024-02-18 21:18:21,2024-02-18 21:22:54,273,5
355,316,2,175,58,1220,2,15,4,STOP,2024-02-18 21:18:21,2024-02-18 21:22:54,273,5
1469,122,3,169,14,189,2,17,2,STOP,2024-02-02 07:06:35,2024-02-02 07:06:35,0,0
1469,122,3,169,8,1497,1,17,2,STOP,2024-02-02 07:06:35,2024-02-02 07:06:35,0,0
1461,211,3,169,65,1830,3,19,2,STOP,2024-02-02 21:06:43,2024-02-02 21:08:58,135,3
1461,211,3,169,40,641,1,19,2,STOP,2024-02-02 21:06:43,2024-02-02 21:08:58,135,3
1461,211,3,169,32,1754,1,19,2,STOP,2024-02-02 21:06:43,2024-02-02 21:08:58,135,3
1461,211,3,169,58,1220,2,19,2,STOP,2024-02-02 21:06:43,2024-02-02 21:08:58,135,3
1461,211,3,169,66,703,2,19,2,STOP,2024-02-02 21:06:43,2024-02-02 21:08:58,135,3
2222,152,3,177,64,1956,2,21,1,STOP,2024-02-21 15:27:26,2024-02-21 15:27:26,0,0
2222,152,3,177,52,1306,3,21,1,STOP,2024-02-21 15:27:26,2024-02-21 15:27:26,0,0
2222,152,3,177,69,1020,1,21,1,STOP,2024-02-21 15:27:26,2024-02-21 15:27:26,0,0
2222,152,3,177,97,761,3,21,1,STOP,2024-02-21 15:27:26,2024-02-21 15:27:26,0,0
2222,152,3,177,82,1776,2,21,1,STOP,2024-02-21 15:27:26,2024-02-21 15:27:26,0,0
1427,266,3,177,84,1675,3,23,3,STOP,2024-02-22 18:24:15,2024-02-22 18:26:35,140,3
1427,266,3,177,21,259,1,23,3,STOP,2024-02-22 18:24:15,2024-02-22 18:26:35,140,3
1174,111,2,169,14,189,3,25,2,STOP,2024-02-02 14:20:59,2024-02-02 14:23:30,151,3
1174,111,2,169,69,1020,3,25,2,STOP,2024-02-02 14:20:59,2024-02-02 14:23:30,151,3
1174,111,2,169,82,1776,2,25,2,STOP,2024-02-02 14:20:59,2024-02-02 14:23:30,151,3
1174,111,2,169,42,1976,2,25,2,STOP,2024-02-02 14:20:59,2024-02-02 14:23:30,151,3
265,251,3,180,79,1599,2,27,2,STOP,2024-02-07 08:22:27,2024-02-07 08:24:40,133,3
265,251,3,180,52,1306,1,27,2,STOP,2024-02-07 08:22:27,2024-02-07 08:24:40,133,3
265,251,3,180,15,764,3,27,2,STOP,2024-02-07 08:22:27,2024-02-07 08:24:40,133,3
1817,116,3,176,28,1789,2,30,4,STOP,2024-02-12 19:09:29,2024-02-12 19:14:12,283,5
1817,116,3,176,20,1974,3,30,4,STOP,2024-02-12 19:09:29,2024-02-12 19:14:12,283,5
1817,116,3,176,38,653,2,30,4,STOP,2024-02-12 19:09:29,2024-02-12 19:14:12,283,5
1817,116,3,176,90,1654,1,30,4,STOP,2024-02-12 19:09:29,2024-02-12 19:14:12,283,5
1817,116,3,176,42,1976,2,30,4,STOP,2024-02-12 19:09:29,2024-02-12 19:14:12,283,5
809,270,2,178,55,1734,3,32,4,STOP,2024-02-26 09:28:53,2024-02-26 09:35:16,383,7
809,270,2,178,22,407,1,32,4,STOP,2024-02-26 09:28:53,2024-02-26 09:35:16,383,7
809,270,2,178,61,943,3,32,4,STOP,2024-02-26 09:28:53,2024-02-26 09:35:16,383,7
809,270,2,178,86,670,3,32,4,STOP,2024-02-26 09:28:53,2024-02-26 09:35:16,383,7
2120,291,2,179,32,1754,1,34,1,STOP,2024-02-28 09:43:53,2024-02-28 09:44:25,32,1
351,176,2,175,94,1168,3,36,1,STOP,2024-02-13 03:05:59,2024-02-13 03:07:40,101,2
351,176,2,175,52,1306,3,36,1,STOP,2024-02-13 03:05:59,2024-02-13 03:07:40,101,2
351,176,2,175,49,728,2,36,1,STOP,2024-02-13 03:05:59,2024-02-13 03:07:40,101,2
351,176,2,175,59,1779,3,36,1,STOP,2024-02-13 03:05:59,2024-02-13 03:07:40,101,2
351,176,2,175,16,750,2,36,1,STOP,2024-02-13 03:05:59,2024-02-13 03:07:40,101,2
1325,237,1,200,88,1223,2,38,4,STOP,2024-02-01 02:50:54,2024-02-01 03:00:10,556,10
1325,237,1,200,79,1599,3,38,4,STOP,2024-02-01 02:50:54,2024-02-01 03:00:10,556,10
1325,237,1,200,68,1895,2,38,4,STOP,2024-02-01 02:50:54,2024-02-01 03:00:10,556,10
1325,237,1,200,53,396,1,38,4,STOP,2024-02-01 02:50:54,2024-02-01 03:00:10,556,10
1325,237,1,200,23,546,1,38,4,STOP,2024-02-01 02:50:54,2024-02-01 03:00:10,556,10
2129,68,1,177,64,1956,1,40,1,STOP,2024-02-23 20:35:49,2024-02-23 20:36:38,49,1
1359,30,1,179,67,628,2,42,4,STOP,2024-02-28 06:45:54,2024-02-28 06:53:52,478,8
1359,30,1,179,69,1020,1,42,4,STOP,2024-02-28 06:45:54,2024-02-28 06:53:52,478,8
1359,30,1,179,53,396,1,42,4,STOP,2024-02-28 06:45:54,2024-02-28 06:53:52,478,8
1359,30,1,179,58,1220,1,42,4,STOP,2024-02-28 06:45:54,2024-02-28 06:53:52,478,8
1359,30,1,179,98,1184,3,42,4,STOP,2024-02-28 06:45:54,2024-02-28 06:53:52,478,8
467,284,3,176,10,860,3,44,1,STOP,2024-02-17 18:45:32,2024-02-17 18:46:31,59,1
467,284,3,176,86,670,2,44,1,STOP,2024-02-17 18:45:32,2024-02-17 18:46:31,59,1
467,284,3,176,29,906,2,44,1,STOP,2024-02-17 18:45:32,2024-02-17 18:46:31,59,1
467,284,3,176,16,750,1,44,1,STOP,2024-02-17 18:45:32,2024-02-17 18:46:31,59,1
1047,10,3,175,57,1753,3,46,2,STOP,2024-02-10 15:50:53,2024-02-10 15:52:41,108,2
1047,10,3,175,8,1497,3,46,2,STOP,2024-02-10 15:50:53,2024-02-10 15:52:41,108,2
1145,91,2,177,55,1734,1,48,2,STOP,2024-02-08 19:30:45,2024-02-08 19:32:18,93,2
1145,91,2,177,85,1493,2,48,2,STOP,2024-02-08 19:30:45,2024-02-08 19:32:18,93,2
1145,91,2,177,59,1779,2,48,2,STOP,2024-02-08 19:30:45,2024-02-08 19:32:18,93,2
2186,203,2,179,2,833,3,50,2,STOP,2024-02-28 08:30:20,2024-02-28 08:33:33,193,4
2186,203,2,179,83,851,3,50,2,STOP,2024-02-28 08:30:20,2024-02-28 08:33:33,193,4
2186,203,2,179,9,237,1,50,2,STOP,2024-02-28 08:30:20,2024-02-28 08:33:33,193,4
2186,203,2,179,26,1872,3,50,2,STOP,2024-02-28 08:30:20,2024-02-28 08:33:33,193,4
2186,203,2,179,46,344,2,50,2,STOP,2024-02-28 08:30:20,2024-02-28 08:33:33,193,4
556,197,3,177,87,982,3,52,1,STOP,2024-02-21 08:38:17,2024-02-21 08:39:29,72,2
556,197,3,177,14,189,2,52,1,STOP,2024-02-21 08:38:17,2024-02-21 08:39:29,72,2
556,197,3,177,48,256,1,52,1,STOP,2024-02-21 08:38:17,2024-02-21 08:39:29,72,2
556,197,3,177,38,653,2,52,1,STOP,2024-02-21 08:38:17,2024-02-21 08:39:29,72,2
556,197,3,177,76,1273,1,52,1,STOP,2024-02-21 08:38:17,2024-02-21 08:39:29,72,2
304,64,2,176,22,407,2,54,3,STOP,2024-02-19 06:17:56,2024-02-19 06:21:56,240,4
304,64,2,176,33,1526,2,54,3,STOP,2024-02-19 06:17:56,2024-02-19 06:21:56,240,4
304,64,2,176,29,906,1,54,3,STOP,2024-02-19 06:17:56,2024-02-19 06:21:56,240,4
304,64,2,176,66,703,2,54,3,STOP,2024-02-19 06:17:56,2024-02-19 06:21:56,240,4
304,64,2,176,80,414,1,54,3,STOP,2024-02-19 06:17:56,2024-02-19 06:21:56,240,4
414,6,2,175,56,318,3,57,4,STOP,2024-02-18 08:09:13,2024-02-18 08:14:03,290,5
414,6,2,175,11,338,3,57,4,STOP,2024-02-18 08:09:13,2024-02-18 08:14:03,290,5
414,6,2,175,40,641,1,57,4,STOP,2024-02-18 08:09:13,2024-02-18 08:14:03,290,5
414,6,2,175,91,1428,1,57,4,STOP,2024-02-18 08:09:13,2024-02-18 08:14:03,290,5
1999,287,2,178,25,1963,3,59,4,STOP,2024-02-25 17:12:54,2024-02-25 17:12:54,0,0
1999,287,2,178,16,750,1,59,4,STOP,2024-02-25 17:12:54,2024-02-25 17:12:54,0,0
1210,138,1,177,19,627,1,61,2,STOP,2024-02-22 17:42:52,2024-02-22 17:46:05,193,4
1210,138,1,177,95,1491,2,61,2,STOP,2024-02-22 17:42:52,2024-02-22 17:46:05,193,4
1210,138,1,177,11,338,1,61,2,STOP,2024-02-22 17:42:52,2024-02-22 17:46:05,193,4
1210,138,1,177,18,1997,2,61,2,STOP,2024-02-22 17:42:52,2024-02-22 17:46:05,193,4
1210,138,1,177,89,1478,2,61,2,STOP,2024-02-22 17:42:52,2024-02-22 17:46:05,193,4
1962,251,2,178,13,486,2,63,1,STOP,2024-02-25 02:09:09,2024-02-25 02:10:07,58,1
1962,251,2,178,41,1990,1,63,1,STOP,2024-02-25 02:09:09,2024-02-25 02:10:07,58,1
1962,251,2,178,80,414,1,63,1,STOP,2024-02-25 02:09:09,2024-02-25 02:10:07,58,1
27,141,2,200,57,1753,3,65,1,STOP,2024-02-01 20:47:52,2024-02-01 20:48:59,67,2
27,141,2,200,92,245,2,65,1,STOP,2024-02-01 20:47:52,2024-02-01 20:48:59,67,2
27,141,2,200,23,546,3,65,1,STOP,2024-02-01 20:47:52,2024-02-01 20:48:59,67,2
231,152,3,170,0,928,2,67,3,STOP,2024-02-03 17:27:10,2024-02-03 17:30:39,209,4
231,152,3,170,59,1779,1,67,3,STOP,2024-02-03 17:27:10,2024-02-03 17:30:39,209,4
231,152,3,170,58,1220,3,67,3,STOP,2024-02-03 17:27:10,2024-02-03 17:30:39,209,4
231,152,3,170,29,906,3,67,3,STOP,2024-02-03 17:27:10,2024-02-03 17:30:39,209,4
2185,23,1,170,83,851,3,69,2,STOP,2024-02-03 03:53:28,2024-02-03 03:58:08,280,5
2185,23,1,170,94,1168,1,69,2,STOP,2024-02-03 03:53:28,2024-02-03 03:58:08,280,5
2185,23,1,170,38,653,3,69,2,STOP,2024-02-03 03:53:28,2024-02-03 03:58:08,280,5
2185,23,1,170,91,1428,3,69,2,STOP,2024-02-03 03:53:28,2024-02-03 03:58:08,280,5
48,308,3,176,7,1949,3,71,1,STOP,2024-02-11 07:59:17,2024-02-11 07:59:17,0,0
1732,273,2,179,87,982,3,74,3,STOP,2024-02-28 15:46:33,2024-02-28 15:49:45,192,4
1732,273,2,179,19,627,3,74,3,STOP,2024-02-28 15:46:33,2024-02-28 15:49:45,192,4
